题号,字段,题目,类型,1端,7端,选项编码,必答,缺失规则
1,consent,您是否同意参加本研究？,single,,,"[{""value"": 1, ""label"": ""同意参加""}, {""value"": 0, ""label"": ""不同意参加""}]",是,NULL/空白；不填0或4
2,age,您的年龄：,integer,,,[],是,NULL/空白；不填0或4
3,eligibility_basic,请确认：您能阅读简体中文，并且有浏览社交媒体内容的经验。,single,,,"[{""value"": 1, ""label"": ""符合以上两项""}, {""value"": 0, ""label"": ""不符合""}]",是,NULL/空白；不填0或4
4,planning_1,出行前，我通常会提前确定主要想去的地点。,scale,非常不符合,非常符合,[],是,NULL/空白；不填0或4
5,planning_2,我习惯提前安排每天主要活动的大致时间。,scale,非常不符合,非常符合,[],是,NULL/空白；不填0或4
6,planning_3,我通常会提前想好不同游览地点之间的衔接顺序。,scale,非常不符合,非常符合,[],是,NULL/空白；不填0或4
7,brand_pre1,我认为澄湾总体上,scale,总体很差,总体很好,[],本组三题至少答两题,NULL/空白；不填0或4
8,brand_pre2,我认为澄湾,scale,很不吸引人,很吸引人,[],本组三题至少答两题,NULL/空白；不填0或4
9,brand_pre3,我对澄湾的喜爱程度,scale,很不喜欢,很喜欢,[],本组三题至少答两题,NULL/空白；不填0或4
10,self_P_pre,此刻，我的心情是,scale,很不开心,很开心,[],是,NULL/空白；不填0或4
11,self_A_pre,此刻，我的情绪状态是,scale,很平静,很激动,[],是,NULL/空白；不填0或4
12,self_D_pre,想到自己去澄湾游览，此刻我感到,scale,行程超出我的掌控,行程在我的掌控之中,[],是,NULL/空白；不填0或4
13,self_P_post,此刻，我的心情是,scale,很不开心,很开心,[],是,NULL/空白；不填0或4
14,self_A_post,此刻，我的情绪状态是,scale,很平静,很激动,[],是,NULL/空白；不填0或4
15,self_D_post,想到自己去澄湾游览，此刻我感到,scale,行程超出我的掌控,行程在我的掌控之中,[],是,NULL/空白；不填0或4
16,brand_post1,我认为澄湾总体上,scale,总体很差,总体很好,[],本组三题至少答两题,NULL/空白；不填0或4
17,brand_post2,我认为澄湾,scale,很不吸引人,很吸引人,[],本组三题至少答两题,NULL/空白；不填0或4
18,brand_post3,我对澄湾的喜爱程度,scale,很不喜欢,很喜欢,[],本组三题至少答两题,NULL/空白；不填0或4
19,visit1,如果未来有合适机会，我愿意到澄湾旅游。,scale,非常不同意,非常同意,[],是,NULL/空白；不填0或4
20,visit2,我会把澄湾列入未来旅游目的地的考虑范围。,scale,非常不同意,非常同意,[],是,NULL/空白；不填0或4
21,perceived_comment_P,评论里的人整体心情更接近：,scale,很不开心,很开心,[],是,NULL/空白；不填0或4
22,perceived_comment_A,评论里的人整体情绪状态更接近：,scale,很平静,很激动,[],是,NULL/空白；不填0或4
23,perceived_comment_D,评论里的人觉得，游览的安排和节奏：,scale,完全掌握不了,完全能自己掌握,[],是,NULL/空白；不填0或4
24,emotion_label,这些评论整体更接近哪种感觉？,single_text,,,"[{""value"": ""主要在记录和说明，没有明显情绪"", ""label"": ""主要在记录和说明，没有明显情绪""}, {""value"": ""轻松、舒服、开心"", ""label"": ""轻松、舒服、开心""}, {""value"": ""兴奋、来劲、开心"", ""label"": ""兴奋、来劲、开心""}, {""value"": ""紧张、担心、不安"", ""label"": ""紧张、担心、不安""}, {""value"": ""其他或说不清楚"", ""label"": ""其他或说不清楚""}]",是,NULL/空白；不填0或4
25,naturalness,这些评论读起来自然。,scale,非常不同意,非常同意,[],是,NULL/空白；不填0或4
26,information_amount,这些评论提供的游览信息比较充足。,scale,非常不同意,非常同意,[],是,NULL/空白；不填0或4
27,new_risk_inferred,材料是否明确说，澄湾已经发生过事故、犯罪、灾害，或者交通、场馆服务故障？,single,,,"[{""value"": 0, ""label"": ""没有""}, {""value"": 1, ""label"": ""有""}]",是,NULL/空白；不填0或4
28,attention_check,这题用于确认你在阅读题目，请选择数字“6”。,scale,,,[],是,NULL/空白；不填0或4
29,gender,您的性别：,single_text,,,"[{""value"": ""女"", ""label"": ""女""}, {""value"": ""男"", ""label"": ""男""}, {""value"": ""其他"", ""label"": ""其他""}, {""value"": ""不愿回答"", ""label"": ""不愿回答""}]",是,NULL/空白；不填0或4
