old_variable,old_title,action,new_item,note
consent,您是否同意参加本研究？,保留,Q1 您是否同意参加本研究？,
age,您的年龄,保留,Q2 您的年龄：,唯一数字输入框；填写周岁。
chinese_reading,您能否阅读简体中文？,合并资格,Q3 eligibility_basic；不分别回填原值,合并回答不能重建两个独立的原始回答。
social_media_experience,您是否有浏览社交媒体内容的基本经验？,合并资格,Q3 eligibility_basic；不分别回填原值,合并回答不能重建两个独立的原始回答。
brand_pre1,我认为澄湾总体上,时点后移,Q7 我认为澄湾总体上,原：简介后、帖子前；新：帖子后、评论前。
brand_pre2,我认为澄湾,时点后移,Q8 我认为澄湾,原：简介后、帖子前；新：帖子后、评论前。
brand_pre3,我对澄湾的喜爱程度,时点后移,Q9 我对澄湾的喜爱程度,原：简介后、帖子前；新：帖子后、评论前。
self_P_pre,此刻，我的心情是：,保留,Q10 此刻，我的心情是,前后题干、端点、说明完全相同。
self_A_pre,此刻，我的情绪状态是：,保留,Q11 此刻，我的情绪状态是,前后题干、端点、说明完全相同。
self_D_pre,想到自己去澄湾游览，此刻我感到：,保留,Q12 想到自己去澄湾游览，此刻我感到,D为预期行程掌控感。
brand_post1,我认为澄湾总体上,保留,Q16 我认为澄湾总体上,
brand_post2,我认为澄湾,保留,Q17 我认为澄湾,
brand_post3,我对澄湾的喜爱程度,保留,Q18 我对澄湾的喜爱程度,
self_P_post,此刻，我的心情是：,保留,Q13 此刻，我的心情是,前后题干、端点、说明完全相同。
self_A_post,此刻，我的情绪状态是：,保留,Q14 此刻，我的情绪状态是,前后题干、端点、说明完全相同。
self_D_post,想到自己去澄湾游览，此刻我感到：,保留,Q15 想到自己去澄湾游览，此刻我感到,D为预期行程掌控感。
perceived_comment_P,从这六条评论来看，评论里的人整体心情更接近哪一边？,措辞精简,Q21 评论里的人整体心情更接近：,评价评论者，不能与self同维度相减。
perceived_comment_A,从这六条评论来看，评论里的人整体情绪状态更接近哪一边？,措辞精简,Q22 评论里的人整体情绪状态更接近：,评价评论者，不能与self同维度相减。
perceived_comment_D,从这些评论来看，评论里的人觉得自己能不能掌握游览的安排和节奏？,措辞精简,Q23 评论里的人觉得，游览的安排和节奏：,评价评论者，不能与self同维度相减。
naturalness,这些评论读起来自然。,保留,Q25 这些评论读起来自然。,
platform_likelihood,平时刷旅行帖子时，我可能会看到这样的评论。,本版不施测,—,历史列保留，Q11新行NULL；不计失败。
readability,这些评论的意思容易看懂。,本版不施测,—,历史列保留，Q11新行NULL；不计失败。
information_amount,这些评论提供的游览信息比较充足。,保留,Q26 这些评论提供的游览信息比较充足。,
specificity,这些评论说得比较具体。,本版不施测,—,历史列保留，Q11新行NULL；不计失败。
city_context_natural,这些评论和前面的城市介绍、帖子内容接得上。,本版不施测,—,历史列保留，Q11新行NULL；不计失败。
visit1,如果未来有合适机会，我愿意到澄湾旅游,保留,Q19 如果未来有合适机会，我愿意到澄湾旅游。,
visit2,我会把澄湾列入未来旅游目的地的考虑范围,保留,Q20 我会把澄湾列入未来旅游目的地的考虑范围。,
emotion_label,综合来看，这六条评论整体更接近下面哪一种感觉？,措辞精简,Q24 这些评论整体更接近哪种感觉？,目标识别只描述，不删除不符合目标的人。
comment_feeling_open,先不看选项，请用自己的话说说：这六条评论整体给你什么感觉？哪句话最让你有这种感觉？,本版不施测,—,历史列保留，Q11新行NULL；不计失败。
new_risk_inferred,刚才的材料有没有明确说，澄湾已经发生过事故、犯罪、灾害，或者交通、场馆的服务故障？,措辞精简,Q27 材料是否明确说，澄湾已经发生过事故、犯罪、灾害，或者交通、场馆服务故障？,不将对可能风险的担心当作已发生事件。
new_risk_text,是哪句话让你这样认为？请写出来，或说说它的大意。,本版不施测,—,历史列保留，Q11新行NULL；不计失败。
memory_check,以下哪些交通信息在材料中出现过？可多选,本版不施测,—,历史列保留，Q11新行NULL；不计失败。
real_city_guess,澄湾最像哪座现实城市？也可填写“不像任何城市”或“不确定”,本版不施测,—,历史列保留，Q11新行NULL；不计失败。
attention_check,为了表明您正在认真作答，请选择“比较同意”,指令修改,Q28 这题用于确认你在阅读题目，请选择数字“6”。,正确值仍为6；改为直接选数字，不带同意度标签。
purpose_guess,您认为本研究的目的是什么？,本版不施测,—,历史列保留，Q11新行NULL；不计失败。
gender,您的性别,保留,Q29 您的性别：,
education,您的最高教育程度,本版不施测,—,历史列保留，Q11新行NULL；不计失败。
—,无此原始字段,新增,Q4 planning_1：出行前，我通常会提前确定主要想去的地点。,在任何澄湾材料前测量；非已验证标准短量表；低分不等同随性人格。
—,无此原始字段,新增,Q5 planning_2：我习惯提前安排每天主要活动的大致时间。,在任何澄湾材料前测量；非已验证标准短量表；低分不等同随性人格。
—,无此原始字段,新增,Q6 planning_3：我通常会提前想好不同游览地点之间的衔接顺序。,在任何澄湾材料前测量；非已验证标准短量表；低分不等同随性人格。
—,无此原始字段,新增合并字段,Q3 eligibility_basic：请确认：您能阅读简体中文，并且有浏览社交媒体内容的经验。,合并两项资格确认；0不能推断是哪项不符合；不伪造旧两字段。
