number,stage,variable,title,type,left,right,options,required,role,help,rule
1,同意与筛选,consent,您是否同意参加本研究？,single,,,同意参加 | 不同意参加,是,资格,,0立即结束；不展示其余材料
2,同意与筛选,age,您的年龄：,integer,,,,是,资格／样本描述,,整数0—120；仅18岁及以上进入材料
3,同意与筛选,eligibility_basic,请确认：您能阅读简体中文，并且有浏览社交媒体内容的经验。,single,,,符合以上两项 | 不符合,是,资格,,1才可继续；0结束
4,旅行规划倾向,planning_1,出行前，我通常会提前确定主要想去的地点。,scale,非常不符合,非常符合,,是,处理前调节变量,,三题均有效才计算planning_mean
5,旅行规划倾向,planning_2,我习惯提前安排每天主要活动的大致时间。,scale,非常不符合,非常符合,,是,处理前调节变量,,三题均有效才计算planning_mean
6,旅行规划倾向,planning_3,我通常会提前想好不同游览地点之间的衔接顺序。,scale,非常不符合,非常符合,,是,处理前调节变量,,三题均有效才计算planning_mean
7,品牌形象前测,brand_pre1,我认为澄湾总体上,scale,总体很差,总体很好,,本组三题至少答两题,主要结果的基线,,至少2/3项有效后取均值
8,品牌形象前测,brand_pre2,我认为澄湾,scale,很不吸引人,很吸引人,,本组三题至少答两题,主要结果的基线,,至少2/3项有效后取均值
9,品牌形象前测,brand_pre3,我对澄湾的喜爱程度,scale,很不喜欢,很喜欢,,本组三题至少答两题,主要结果的基线,,至少2/3项有效后取均值
10,自身感受前测,self_P_pre,此刻，我的心情是,scale,很不开心,很开心,,是,自身状态基线,,前后配对分别计分，不合成PAD总分
11,自身感受前测,self_A_pre,此刻，你的身心激活程度更接近哪一边？,scale,非常低：感觉平静、松弛，身体和注意力都比较放松，节奏比较慢,非常高：身体或注意力明显被调动，精神很集中、很难完全放松；可能兴奋、期待，也可能紧张、警觉,,是,自身状态基线,这里判断的是“身心被调动起来的程度”，不是心情好坏。开心和紧张都可能是高激活。,前后配对分别计分，不合成PAD总分
12,自身感受前测,self_D_pre,想到自己去澄湾游览，此刻我觉得,scale,行程很难由我自己掌握,行程基本由我自己掌握,,是,自身状态基线,,前后配对分别计分，不合成PAD总分
13,自身感受后测,self_P_post,此刻，我的心情是,scale,很不开心,很开心,,是,次级过程结果,,前后配对分别计分，不合成PAD总分
14,自身感受后测,self_A_post,此刻，你的身心激活程度更接近哪一边？,scale,非常低：感觉平静、松弛，身体和注意力都比较放松，节奏比较慢,非常高：身体或注意力明显被调动，精神很集中、很难完全放松；可能兴奋、期待，也可能紧张、警觉,,是,次级过程结果,这里判断的是“身心被调动起来的程度”，不是心情好坏。开心和紧张都可能是高激活。,前后配对分别计分，不合成PAD总分
15,自身感受后测,self_D_post,想到自己去澄湾游览，此刻我觉得,scale,行程很难由我自己掌握,行程基本由我自己掌握,,是,次级过程结果,,前后配对分别计分，不合成PAD总分
16,品牌后测与访问意向,brand_post1,我认为澄湾总体上,scale,总体很差,总体很好,,本组三题至少答两题,主要结果,,至少2/3项有效后取均值
17,品牌后测与访问意向,brand_post2,我认为澄湾,scale,很不吸引人,很吸引人,,本组三题至少答两题,主要结果,,至少2/3项有效后取均值
18,品牌后测与访问意向,brand_post3,我对澄湾的喜爱程度,scale,很不喜欢,很喜欢,,本组三题至少答两题,主要结果,,至少2/3项有效后取均值
19,品牌后测与访问意向,visit1,如果未来有合适机会，我愿意到澄湾旅游。,scale,非常不同意,非常同意,,是,关键次要结果,,两项均有效后取均值
20,品牌后测与访问意向,visit2,我会把澄湾列入未来旅游目的地的考虑范围。,scale,非常不同意,非常同意,,是,关键次要结果,,两项均有效后取均值
21,评论情绪识别,perceived_comment_P,评论里的人整体心情更接近：,scale,很不开心,很开心,,是,操纵检查,,单项独立；不按是否符合目标排除受试者
22,评论情绪识别,perceived_comment_A,从这六条评论来看，评论里的人整体身心激活程度更接近哪一边？,scale,非常低：显得平静、松弛、不急不忙，身体和注意力比较放松,非常高：显得身体或注意力明显被调动，很难完全放松；可能兴奋、期待、迫不及待，也可能紧张、警觉、反复确认,,是,操纵检查,请只判断评论里的人“被调动起来的程度”，不要根据开心或不开心来判断。,单项独立；不按是否符合目标排除受试者
23,评论情绪识别,perceived_comment_D,从这些评论来看，评论里的人觉得，游览的安排和节奏：,scale,很难由自己掌握,基本由自己掌握,,是,操纵检查,,单项独立；不按是否符合目标排除受试者
24,最后检查与提交,emotion_label,这些评论整体更接近哪种感觉？,single_text,,,记录、说明、攻略整理为主，没有明显情绪 | 轻松、从容、舒服，节奏比较松 | 兴奋、期待、很有劲，明显想继续体验 | 紧张、警觉、反复确认，很难完全放松 | 其他或说不清楚,是,预测试辅助识别,,保存选项完整原文；1—5仅为显示顺序
25,最后检查与提交,naturalness,这些评论读起来自然。,scale,非常不同意,非常同意,,是,材料诊断,,单项；不合成为新量表
26,最后检查与提交,information_amount,这些评论提供的游览信息比较充足。,scale,非常不同意,非常同意,,是,材料诊断,,单项；不合成为新量表
27,最后检查与提交,new_risk_inferred,材料是否明确说，澄湾已经发生过事故、犯罪、灾害，或者交通、场馆服务故障？,single,,,没有 | 有,是,风险事实诊断,,只保存有/没有；不显示解释框
28,最后检查与提交,attention_check,这题用于确认你在阅读题目，请选择数字“6”。,scale,,,,是,质量诊断,,6通过；1—5或7失败；未答为NULL
29,最后检查与提交,gender,您的性别：,single_text,,,女 | 男 | 其他 | 不愿回答,是,样本描述,,保存选项原文；不愿回答是有效类别
